Autostart, Autopornire
No - I will start the server myself., Nu - Imi voi porni singur serverul.
No effect if auto start is not enabled, Nu are niciun efect daca autopornirea este oprita
No - I will start the server myself if it crashes., Nu - Imi voi porni singur serverul daca da crash.
Note the Admin can not be deleted or changed, Tine minte ca adminul nu poate fii sters sau schimbat
Next, Urmatorul
Not Started, Oprit
NOT, NE
No update jar URL specified., Niciun URL pentru update JAR nu a fost specificat.
No Players Online, Niciun Jucator Online
Note: this page doesn't auto-refresh, Atentie: aceasta pagina nu se reincarca automat
No data available in table, Nu sunt date disponibile in acest tabel
Next, Urmatorul
New Scheduled Action, Actiune Programata Noua
on port, pe portul
only better, doar mai bun
Password, Parola
Players, Jucatori
Players:, Jucatori:
Pre Arguments, Pre Argumente
Previous, Inapoi
Please add in, Te rog adauga
Path, Cale
Password:, Parola:
Port:, Port:
Permissions, Permisiuni:
Page Cannot Be Displayed, Pagina nu poate fi afisata
Running, Functioneaza
Reload MC Settings, Reincarca Setarile MC
Reload Web Server, Reincarca Webserverul
Revert Jar Update, Pune versiunea de JAR anterioara
Restart Server, Restartaza Serverul
Role, Rol
Role:, Rol:
Sign In, Logheaza-te
Sign in to manage your server, Logheaza-te pentru a-ti controla serverul
Server Status, Status Server
Server Down, Server Oprit
Server, Server
Server Defined, Server Definit
Status, Status
Stopped, Oprit
Server Start Time, Timp Pornire Server
Server Type, Tip Server
Server Description, Descriere Server
Server IP : Server Port, IP Server : Port Server
Server IP, IP Server
Server Port, Port Server
Server Configuration, Configuratie Server
Server Config, Config Server
server config, config server
Server Name, Nume Server
Server Path, Cale Server
Server Jar, JAR Server
Server Max Memory, Memorie Maxima Server
Server Max Memory in MB, Memorie Maxima Server in MB
Server Min Memory, Memorie Minima Server
Server Min Memory in MB, Memorie Minima Server in MB
Server Jar Update URL - This is where you define where to update the jar from., URL Update JAR Server - Aici ii spui sistemului de unde sa updateze JAR-ul serverului.
Save, Salveaza
Show, Arata
Set Password, Seteaza Parola
Search:, Cauta:
set to autostart, seteaza sa autoporneasca
Server Data, Date Server
Server Actions, Actiuni Server
Start New World, Incepe o lume noua
Server Details, Detalii Server
Server Control, Control Server
Sometimes you just need a terminal, Uneori pur si simplu iti trebuie un terminal
Stop Auto-Scrolling, Opreste Auto-Scrollarea
Send Command, Trimite Comanda
Server Backups, Backupuri Server
Server Backup, Backup Server
Show, Arata
Size, Marime
Search Latest.log, Cauta Latest.log
Scheduled Tasks, Actiuni Programate
Select Your Action, Selecteaza Actiunea
Start Server, Porneste Serverul
Stop Server, Opreste Serverul
Saturday, Sambata
Sunday, Duminica
Scheduled Actions, Actiuni Programate
Start FTP Server, Porneste Serverul FTP
Stop FTP Server, Opreste Serverul FTP
Server Jar Here, Jar Server Aici
Server Path Here, Calea Serverului Aici
Save and Finish, Salveaza si termina
Server Console, Consola Server
Server Logs, Loguri Server
Server Schedule, Programare Actiune Server
Sign out, Delogare
Select the new role for, Selecteaza noul rol al lui
Staff, Staff
Tasks, Actiuni
Turn On Crash Detection?, Porneste detectarea de crashuri?
This will detect server crashes and restart them, Asta va detecta cand serverul da crash si-l va restarta
The server will be launched using this string:, Serverul va fi pornit folosind aceasta comanda:
The server is, Serverul este
This can should be unique to the FTP service, Asta trebuie sa fie unica pentru serviciul FTP
This should be at least 8 letters long - maybe 15 characters, Asta trebuie sa fie cel putin 8 caractere - poate 15
Type your new password, Scrie noua parola
that is at least 10 char long and contains uncommon words:, care este de cel putin 10 caractere si contine cuvinte mai putin cunoscute
to get server status, pentru a lua statusul serverului
threads, threaduri
Tuesday, Marti
Thursday, Joi
Time, Timp
Time is disabled for minute and hour values, Timpul este dezactivat pentru valori de minute si ore
The credentials are:, Datele de logare sunt:
The users new password is:, Parola noua a utilizatorului este:
Testing, Test
Username, Nume
Unable to connect, Nu se poate conecta
Users, Utilizatori
users defined, utilizatori definiti
Update Jar, Updateaza JAR
Update Server Jar, Updateaza JAR-ul Serverului
Up, Pornit
Username:, Nume:
Version Update Checker, Verificator Update-uri
Version, Versiunea
Virtual Console for server:, Consola Virtuala pentru server
Virtual Console, Consola Virtuala
What do you call this server? (example: CraftySurvival), Cum se numeste acest server? (exemplu: CraftySurvival)
What folder is your server in? (example: C:\minecraft\server), In ce folder este serverul? (exemplu: C:\minecraft\server)
What is your jar filename? (example: paper.jar), Care este numele JAR-ului? (exemplu: paper.jar)
Webserver Port, Port Webserver
World Name, Nume Lume
World Size, Marime Lume
Warning, Atentie
Wednesday, Miercuri
You can not rename servers at this time, Nu mai poti redenumi acum servere
Yes - Start the Minecraft Server on program launch., Da - Porneste serverul de Minecraft odata cu Crafty.
Yes - If the server stops, Da - Daca serverul se opreste
Your Current Config, Configul Tau Curent
Your API Key:, Cheia ta API
You have, Ai
you have, ai
Your backups are stored in:, Backupurile sunt stocate in:
You are backing up these paths:, Faci backup la aceste locatii
You are here, Esti aici
Yes, Da
5 Questions and a checkbox until you're done, 5 Intrebari si un checkbox pana esti gata
